feature_name,vulnerable,value
max_neighbor_cosine,False,0.69761
mean_intensity,False,0.13634
intensity_std,False,0.31338
max_neighbor_cosine,False,0.66405
mean_intensity,False,0.11722
intensity_std,False,0.28303
max_neighbor_cosine,False,0.74859
mean_intensity,False,0.14745
intensity_std,False,0.32609
max_neighbor_cosine,False,0.83107
mean_intensity,False,0.16461
intensity_std,False,0.34185
max_neighbor_cosine,False,0.75928
mean_intensity,False,0.08898
intensity_std,False,0.26573
max_neighbor_cosine,False,0.80384
mean_intensity,False,0.19281
intensity_std,False,0.36452
max_neighbor_cosine,True,0.8134
mean_intensity,True,0.10234
intensity_std,True,0.2625
max_neighbor_cosine,False,0.78916
mean_intensity,False,0.17114
intensity_std,False,0.34816
max_neighbor_cosine,False,0.68785
mean_intensity,False,0.11881
intensity_std,False,0.28822
max_neighbor_cosine,False,0.65953
mean_intensity,False,0.19674
intensity_std,False,0.3666
max_neighbor_cosine,False,0.74545
mean_intensity,False,0.24957
intensity_std,False,0.40327
max_neighbor_cosine,True,0.78916
mean_intensity,True,0.1034
intensity_std,True,0.27906
max_neighbor_cosine,False,0.60803
mean_intensity,False,0.10273
intensity_std,False,0.27031
max_neighbor_cosine,False,0.84271
mean_intensity,False,0.12839
intensity_std,False,0.30797
max_neighbor_cosine,False,0.74582
mean_intensity,False,0.17339
intensity_std,False,0.3489
max_neighbor_cosine,False,0.78654
mean_intensity,False,0.14246
intensity_std,False,0.31874
max_neighbor_cosine,False,0.79141
mean_intensity,False,0.17989
intensity_std,False,0.35738
max_neighbor_cosine,False,0.72435
mean_intensity,False,0.14179
intensity_std,False,0.32
max_neighbor_cosine,False,0.81011
mean_intensity,False,0.20704
intensity_std,False,0.38028
max_neighbor_cosine,False,0.63306
mean_intensity,False,0.12596
intensity_std,False,0.29824
max_neighbor_cosine,False,0.65674
mean_intensity,False,0.1895
intensity_std,False,0.36752
max_neighbor_cosine,False,0.72353
mean_intensity,False,0.12867
intensity_std,False,0.30752
max_neighbor_cosine,False,0.71408
mean_intensity,False,0.10255
intensity_std,False,0.2665
max_neighbor_cosine,False,0.63181
mean_intensity,False,0.08087
intensity_std,False,0.23746
max_neighbor_cosine,False,0.53999
mean_intensity,False,0.08868
intensity_std,False,0.25537
max_neighbor_cosine,False,0.81925
mean_intensity,False,0.12947
intensity_std,False,0.30472
max_neighbor_cosine,False,0.84271
mean_intensity,False,0.10439
intensity_std,False,0.27693
max_neighbor_cosine,False,0.71587
mean_intensity,False,0.18914
intensity_std,False,0.37464
max_neighbor_cosine,False,0.70921
mean_intensity,False,0.1184
intensity_std,False,0.29576
max_neighbor_cosine,False,0.69663
mean_intensity,False,0.15216
intensity_std,False,0.32351
max_neighbor_cosine,False,0.49741
mean_intensity,False,0.08086
intensity_std,False,0.24152
max_neighbor_cosine,True,0.78942
mean_intensity,True,0.05236
intensity_std,True,0.19706
max_neighbor_cosine,True,0.74859
mean_intensity,True,0.09211
intensity_std,True,0.25305
max_neighbor_cosine,False,0.65731
mean_intensity,False,0.10536
intensity_std,False,0.26683
max_neighbor_cosine,False,0.8687
mean_intensity,False,0.09291
intensity_std,False,0.26851
max_neighbor_cosine,False,0.68861
mean_intensity,False,0.16098
intensity_std,False,0.3397
max_neighbor_cosine,False,0.69228
mean_intensity,False,0.10842
intensity_std,False,0.28198
max_neighbor_cosine,False,0.55371
mean_intensity,False,0.08954
intensity_std,False,0.24636
max_neighbor_cosine,False,0.63817
mean_intensity,False,0.09551
intensity_std,False,0.25997
max_neighbor_cosine,False,0.61316
mean_intensity,False,0.08769
intensity_std,False,0.24001
max_neighbor_cosine,False,0.74483
mean_intensity,False,0.12582
intensity_std,False,0.29859
max_neighbor_cosine,False,0.84744
mean_intensity,False,0.14692
intensity_std,False,0.32908
max_neighbor_cosine,False,0.72435
mean_intensity,False,0.13808
intensity_std,False,0.32001
max_neighbor_cosine,False,0.7547
mean_intensity,False,0.19168
intensity_std,False,0.36387
max_neighbor_cosine,False,0.52574
mean_intensity,False,0.04818
intensity_std,False,0.18333
max_neighbor_cosine,False,0.64046
mean_intensity,False,0.14782
intensity_std,False,0.3301
max_neighbor_cosine,False,0.77767
mean_intensity,False,0.12497
intensity_std,False,0.29818
max_neighbor_cosine,False,0.69761
mean_intensity,False,0.18312
intensity_std,False,0.36005
max_neighbor_cosine,False,0.60894
mean_intensity,False,0.13758
intensity_std,False,0.3132
max_neighbor_cosine,False,0.78654
mean_intensity,False,0.19009
intensity_std,False,0.36211
max_neighbor_cosine,False,0.65211
mean_intensity,False,0.1043
intensity_std,False,0.27374
max_neighbor_cosine,False,0.67886
mean_intensity,False,0.06401
intensity_std,False,0.21763
max_neighbor_cosine,False,0.75834
mean_intensity,False,0.14517
intensity_std,False,0.32234
max_neighbor_cosine,False,0.62173
mean_intensity,False,0.10756
intensity_std,False,0.27904
max_neighbor_cosine,False,0.78572
mean_intensity,False,0.16656
intensity_std,False,0.34659
max_neighbor_cosine,False,0.75602
mean_intensity,False,0.15408
intensity_std,False,0.33823
max_neighbor_cosine,False,0.71617
mean_intensity,False,0.11028
intensity_std,False,0.28538
max_neighbor_cosine,True,0.7361
mean_intensity,True,0.06241
intensity_std,True,0.22007
max_neighbor_cosine,False,0.84444
mean_intensity,False,0.15481
intensity_std,False,0.3269
max_neighbor_cosine,False,0.82408
mean_intensity,False,0.15375
intensity_std,False,0.3376
max_neighbor_cosine,False,0.86996
mean_intensity,False,0.17152
intensity_std,False,0.34377
max_neighbor_cosine,False,0.7607
mean_intensity,False,0.14663
intensity_std,False,0.31986
max_neighbor_cosine,False,0.6186
mean_intensity,False,0.10869
intensity_std,False,0.26629
max_neighbor_cosine,True,0.68316
mean_intensity,True,0.09864
intensity_std,True,0.26489
max_neighbor_cosine,False,0.74751
mean_intensity,False,0.13522
intensity_std,False,0.31505
max_neighbor_cosine,False,0.71205
mean_intensity,False,0.1717
intensity_std,False,0.34253
max_neighbor_cosine,True,0.7361
mean_intensity,True,0.07631
intensity_std,True,0.24505
max_neighbor_cosine,True,0.79241
mean_intensity,True,0.04795
intensity_std,True,0.19353
max_neighbor_cosine,False,0.89977
mean_intensity,False,0.16309
intensity_std,False,0.34571
max_neighbor_cosine,False,0.55521
mean_intensity,False,0.12249
intensity_std,False,0.29779
max_neighbor_cosine,True,0.75631
mean_intensity,True,0.11433
intensity_std,True,0.28981
max_neighbor_cosine,False,0.7962
mean_intensity,False,0.20361
intensity_std,False,0.37349
max_neighbor_cosine,False,0.71205
mean_intensity,False,0.13799
intensity_std,False,0.31254
max_neighbor_cosine,False,0.67901
mean_intensity,False,0.15317
intensity_std,False,0.32959
max_neighbor_cosine,False,0.69365
mean_intensity,False,0.18641
intensity_std,False,0.35678
max_neighbor_cosine,True,0.75313
mean_intensity,True,0.09868
intensity_std,True,0.26048
max_neighbor_cosine,False,0.7607
mean_intensity,False,0.16632
intensity_std,False,0.33986
max_neighbor_cosine,False,0.62477
mean_intensity,False,0.11874
intensity_std,False,0.2956
max_neighbor_cosine,False,0.74968
mean_intensity,False,0.15044
intensity_std,False,0.33162
max_neighbor_cosine,False,0.77442
mean_intensity,False,0.14859
intensity_std,False,0.32701
max_neighbor_cosine,False,0.66955
mean_intensity,False,0.13029
intensity_std,False,0.30348
max_neighbor_cosine,False,0.7962
mean_intensity,False,0.15633
intensity_std,False,0.33141
max_neighbor_cosine,False,0.67901
mean_intensity,False,0.17025
intensity_std,False,0.34549
max_neighbor_cosine,False,0.57872
mean_intensity,False,0.12576
intensity_std,False,0.28975
max_neighbor_cosine,False,0.85804
