N,seed,probe,baseline_correct,attack_success,cosine_delta,l2
10,42,2,1,0,-2e-06,1.0
10,42,9,1,0,0.0,0.8744
10,42,5,1,0,0.0,0.9826
10,42,0,1,0,-7e-06,0.9266
10,42,4,1,0,-5e-06,0.9999
10,42,8,1,0,-1.4e-05,0.8676
10,42,6,1,0,0.0,0.9999
10,42,7,1,0,-4e-06,0.8912
10,42,1,1,0,-0.0,0.9822
10,42,3,1,0,-3e-06,0.7029
10,43,9,1,0,-0.0,0.938
10,43,5,1,0,0.0,0.8853
10,43,7,1,0,-2e-06,0.9678
10,43,6,1,0,-0.000223,0.957
10,43,4,1,0,-0.000269,0.8165
10,43,0,1,0,-4.4e-05,0.8213
10,43,8,1,0,-1e-06,0.9964
10,43,3,1,0,-1e-06,0.9976
10,43,1,1,0,-1e-06,0.9564
10,43,2,1,0,-5e-06,0.952
10,44,1,1,0,-1e-06,1.0
10,44,6,1,0,-1e-06,0.869
10,44,2,1,0,0.0,0.9743
10,44,3,1,0,-0.0,0.9373
10,44,9,1,0,0.0,1.0
10,44,4,1,0,-1e-06,0.9604
10,44,0,1,0,-1.8e-05,0.8236
10,44,5,1,0,-1.1e-05,0.9839
10,44,7,1,0,-2e-06,0.9461
10,44,8,1,0,-1e-06,0.9999
10,45,6,1,0,-5e-06,0.8127
10,45,2,1,0,-0.00011,0.9473
10,45,4,1,0,-2e-06,0.889
10,45,1,1,0,-2.4e-05,0.9255
10,45,3,1,0,-3e-06,0.9884
10,45,7,1,0,-4e-06,0.9114
10,45,8,1,0,-8e-06,0.8433
10,45,5,1,0,-1e-06,0.9999
10,45,9,1,0,-1e-06,0.9461
10,45,0,1,0,-5e-06,0.9288
10,46,5,1,0,-2e-06,0.9216
10,46,4,1,0,-2e-06,0.9467
10,46,8,1,0,-5.1e-05,0.9937
10,46,0,1,0,-2e-06,0.9082
10,46,3,1,0,-3e-06,0.942
10,46,6,1,0,-3e-05,1.0
10,46,2,1,0,-5e-06,0.908
10,46,7,1,0,-2e-06,0.9932
10,46,1,1,0,-2e-06,0.9895
10,46,9,1,0,-0.0,0.9467
50,42,2,1,0,-0.001113,0.8059
50,42,9,1,0,-1.3e-05,0.9803
50,42,14,1,0,-0.0,0.9366
50,42,44,1,0,-0.000138,0.9519
50,42,33,1,0,-2.5e-05,0.9771
50,42,19,1,0,-1.2e-05,0.9859
50,42,13,1,0,-0.001751,0.8582
50,42,32,1,0,-0.000193,0.9449
50,42,7,1,0,-4.5e-05,0.8773
50,42,1,1,0,-0.001421,0.9858
50,42,17,1,0,-0.000116,0.9698
50,42,48,1,0,-1.2e-05,0.9987
50,42,4,1,0,-0.00089,0.9055
50,42,18,1,0,-1e-05,0.8922
50,42,34,1,0,-0.001434,0.9517
50,42,8,1,0,-0.000863,0.9132
50,42,28,1,0,-2e-06,0.9932
50,42,36,1,0,-0.000229,0.9511
50,42,26,1,0,-0.000878,0.9681
50,42,46,1,0,-0.000104,1.0
50,43,6,1,0,-0.00023,0.9977
50,43,33,1,0,-2.7e-05,0.9402
50,43,7,1,0,-0.000416,0.9969
50,43,16,1,0,-0.000255,0.7436
50,43,41,1,0,-2e-05,0.9279
50,43,44,1,0,-0.000586,0.9499
50,43,31,1,0,-0.000779,0.8783
50,43,42,1,0,-0.000405,0.8555
50,43,38,1,0,-0.000157,0.9233
50,43,3,1,0,-0.000381,0.9342
50,43,48,1,0,-6e-06,0.9612
50,43,29,1,0,-0.000423,0.797
50,43,20,1,0,-0.000604,0.9226
50,43,43,1,0,-3e-06,0.9941
50,43,36,1,0,-0.00054,0.8569
50,43,10,1,0,-0.000411,0.8749
50,43,5,1,0,-8.6e-05,0.9821
50,43,39,1,0,-0.000189,0.9071
50,43,15,1,0,-1e-05,0.9976
50,43,18,1,0,-0.000653,0.9953
50,44,48,1,0,-0.00012,0.9726
50,44,45,1,0,-2.7e-05,0.9983
50,44,9,1,0,-0.000247,0.8918
50,44,27,1,0,-2.8e-05,0.9695
50,44,39,1,0,-0.000476,0.9021
50,44,0,1,0,-0.000534,0.8236
50,44,12,1,0,-2.6e-05,0.9487
50,44,28,1,0,-1.4e-05,0.8924
50,44,2,1,0,-0.000298,0.9343
50,44,49,1,0,-0.000156,0.8615
50,44,35,1,0,-0.00011,0.8927
50,44,43,1,0,-4.3e-05,0.9453
50,44,36,1,0,-6e-06,0.9419
50,44,11,1,0,-5.7e-05,0.9123
50,44,5,1,0,-0.000128,0.973
50,44,44,1,0,-2.4e-05,0.99
50,44,14,1,0,-1.7e-05,0.9905
50,44,10,1,0,-0.00011,0.9603
50,44,16,1,0,-0.00012,0.9473
50,44,13,1,0,-0.000337,0.7791
50,45,39,1,0,-1.5e-05,1.0
50,45,12,1,0,-0.000175,0.8346
50,45,24,1,0,-0.002264,0.8662
50,45,43,1,0,-1.4e-05,0.9589
50,45,10,1,0,-0.001702,0.9474
50,45,23,1,0,-0.000539,0.9742
50,45,35,1,0,-4e-06,0.9258
50,45,9,1,0,-0.000821,0.9791
50,45,30,1,0,-0.001803,0.6681
50,45,34,1,0,-0.000491,0.8854
50,45,45,1,0,-7e-06,0.9678
50,45,29,1,0,-0.000152,0.8186
50,45,6,1,0,-0.001013,0.8997
50,45,17,1,0,-0.001002,0.861
50,45,14,1,0,-0.001313,0.932
50,45,19,1,0,-0.001035,0.8845
50,45,15,1,0,-0.000526,0.9908
50,45,11,1,0,-0.001826,0.8673
50,45,16,1,0,-2e-06,0.9999
50,45,42,1,0,-0.000127,0.9185
50,46,44,1,0,-0.00011,0.8589
50,46,5,1,0,-1.9e-05,0.9895
50,46,26,1,0,-0.000184,0.8512
50,46,10,1,0,-2.5e-05,0.908
50,46,3,1,0,-2.2e-05,0.9386
50,46,4,1,0,-0.000838,0.9022
50,46,37,1,0,-6e-06,0.9137
50,46,40,1,0,-0.001047,0.8546
50,46,7,1,0,-0.000201,0.8722
50,46,43,1,0,-1.8e-05,0.9325
50,46,1,1,0,-0.000848,0.953
50,46,28,1,0,-4.9e-05,0.9198
50,46,20,1,0,-1.3e-05,0.9824
50,46,46,1,0,-7e-06,0.9904
50,46,8,1,0,-0.001607,0.8735
50,46,0,1,0,-0.000582,0.8113
50,46,45,1,0,-4.2e-05,0.9568
50,46,15,1,0,-0.000105,0.8826
50,46,25,1,0,-2.6e-05,0.9266
50,46,13,1,0,-0.003774,0.89
100,42,44,1,0,-0.000538,0.9235
100,42,47,1,0,-0.002885,0.9733
100,42,68,1,0,-0.000208,0.884
100,42,50,1,0,-1.2e-05,0.9652
100,42,66,1,0,-0.000132,0.8953
100,42,95,1,0,-1.6e-05,0.9727
100,42,87,1,0,-0.000947,0.6515
100,42,28,1,0,-0.000482,0.8615
100,42,43,1,0,-0.000714,0.8759
100,42,38,1,0,-0.000403,0.8868
100,42,42,1,0,-0.001713,0.8339
100,42,62,1,0,-0.000305,0.9449
100,42,75,1,0,-0.001036,0.9849
100,42,18,1,0,-0.002001,0.8747
100,42,90,1,0,-0.000178,0.8028
100,42,78,1,0,-0.000148,0.8368
100,42,73,1,0,-3.5e-05,0.9245
100,42,37,1,0,-0.001245,0.8088
100,42,61,1,0,-0.001227,0.9918
100,42,55,1,0,-0.000413,0.9226
100,43,91,1,0,-0.000991,0.9569
100,43,79,1,0,-1.5e-05,0.9999
100,43,2,1,0,-0.002064,0.8497
100,43,70,1,0,-0.000238,0.9061
100,43,30,1,0,-0.00013,0.9987
100,43,51,1,0,-0.00015,0.872
100,43,99,1,0,-0.000212,0.9098
100,43,66,1,0,-0.002427,0.9565
100,43,3,1,0,-0.001353,0.8861
100,43,76,1,0,-1.8e-05,0.93
100,43,50,1,0,-0.000678,0.8402
100,43,0,1,0,-0.001453,0.9029
100,43,32,1,0,-0.000102,0.9098
100,43,21,1,0,-0.001546,0.9252
100,43,26,1,0,-0.003071,0.9444
100,43,10,1,0,-0.000811,0.8117
100,43,46,1,0,-0.001382,0.8765
100,43,29,1,0,-0.000339,0.9405
100,43,55,1,0,-0.000356,0.9474
100,43,13,1,0,-0.000533,0.9837
100,44,17,1,0,-0.000695,0.9707
100,44,18,1,0,-0.000162,0.9795
100,44,53,1,0,-0.00011,0.8843
100,44,94,1,0,-0.000611,0.9416
100,44,14,1,0,-0.000616,0.8918
100,44,4,1,0,-0.000126,0.9432
100,44,13,1,0,-4.1e-05,0.9996
100,44,52,1,0,-0.0001,0.9695
100,44,91,1,0,-0.000265,0.9729
100,44,55,1,0,-0.001023,0.9807
100,44,44,1,0,-0.000413,0.9964
100,44,90,1,0,-0.000262,0.7938
100,44,87,1,0,-0.000214,0.9801
100,44,39,1,0,-0.000537,0.7831
100,44,65,1,0,-0.000841,0.8715
100,44,50,1,0,-0.000861,0.9856
100,44,92,1,0,-0.000843,0.8293
100,44,28,1,0,-0.000224,0.8651
100,44,95,1,0,-0.000129,0.8879
100,44,68,1,0,-0.000135,0.85
100,45,36,1,0,-0.000155,0.7819
100,45,39,1,0,-0.003321,0.8696
