N,seed,n_probe,bl_fail,cos_mean
10,42,10,0.0,-0.098455
10,43,10,0.0,-0.105662
10,44,10,0.0,-0.102453
10,45,10,0.0,-0.078275
10,46,10,0.0,-0.108032
50,42,50,0.0,-0.019177
50,43,50,0.0,-0.019158
50,44,50,0.0,-0.018662
50,45,50,0.0,-0.01688
50,46,50,0.0,-0.019366
100,42,50,0.0,-0.008821
100,43,50,0.0,-0.009128
100,44,50,0.0,-0.009163
100,45,50,0.0,-0.008522
100,46,50,0.0,-0.009305
200,42,50,0.0,-0.004313
200,43,50,0.0,-0.003838
200,44,50,0.04,-0.004734
200,45,50,0.1,-0.00369
200,46,50,0.14,-0.003793
500,42,50,0.2,-0.001442
500,43,50,0.24,-0.001265
500,44,50,0.12,-0.001803
500,45,50,0.26,-0.001145
500,46,50,0.2,-0.001579
1000,42,50,0.36,-0.000574
1000,43,50,0.34,-0.000566
1000,44,50,0.28,-0.000661
1000,45,50,0.36,-0.000278
1000,46,50,0.34,-0.000336
2000,42,50,0.66,3e-06
2000,43,50,0.56,9e-06
2000,44,50,0.62,-0.000177
2000,45,50,0.54,6e-05
2000,46,50,0.68,0.000108
