N,seed,probe_idx,class,baseline_correct,a1_success,a1_retrieved,a1_pixel_i,a1_pixel_j,a1_pixel_val,a1_l2,a1_cosine_delta,a2_success,a2_retrieved,a2_pixel_i,a2_pixel_j,a2_channel,a2_pixel_val,a2_l2,a2_cosine_delta,b1_success,b1_retrieved,b2_success,b2_retrieved,cos_raw,cos_proc
100,42,53,Dog,1,0,53,26,12,0.0,0.9755,-2.2e-05,0,53,26,12,G,0.0,0.5732,-9e-06,0,0,0,0,0.84578,-0.00882
100,42,80,Ship,1,0,80,13,29,0.0,0.8729,-0.000376,0,80,13,29,G,0.0,0.5156,-0.000171,0,1,0,1,0.84578,-0.00882
100,42,76,Horse,1,0,76,21,13,1.0,0.9886,-0.000336,0,76,21,14,G,1.0,0.5709,-0.000151,0,2,0,2,0.84578,-0.00882
100,42,54,Dog,1,0,54,22,16,1.0,0.884,-0.001771,0,54,22,16,G,1.0,0.5248,-0.000942,0,3,0,3,0.84578,-0.00882
100,42,19,Automobile,1,0,19,1,5,0.0,0.9821,-0.000919,0,19,1,5,G,0.0,0.5778,-0.000437,0,4,0,4,0.84578,-0.00882
100,42,37,Cat,1,0,37,9,18,0.0,0.8088,-0.001245,0,37,9,18,G,0.0,0.4857,-0.000608,0,5,0,5,0.84578,-0.00882
100,42,65,Frog,1,0,65,25,21,1.0,0.8538,-0.001419,0,65,25,21,G,1.0,0.5018,-0.000695,0,6,0,6,0.84578,-0.00882
100,42,93,Truck,1,0,93,1,29,0.0,0.9987,-4.9e-05,0,93,1,29,G,0.0,0.587,-1.3e-05,0,7,0,7,0.84578,-0.00882
100,42,22,Bird,1,0,22,16,23,1.0,0.9096,-0.000516,0,22,16,23,G,1.0,0.5341,-0.000233,0,8,0,8,0.84578,-0.00882
100,42,63,Frog,1,0,63,25,15,0.0,0.9771,-7.5e-05,0,63,25,15,G,0.0,0.5778,-3.2e-05,0,9,0,9,0.84578,-0.00882
100,42,81,Ship,1,0,81,21,9,0.0,0.8502,-0.00011,0,81,10,0,G,1.0,0.5824,-4.4e-05,0,10,0,10,0.84578,-0.00882
100,42,35,Cat,1,0,35,16,28,1.0,0.8423,-0.000754,0,35,17,28,G,1.0,0.4926,-0.000379,0,11,0,11,0.84578,-0.00882
100,42,8,Airplane,1,0,8,18,24,0.0,0.989,-0.000982,0,8,18,24,G,0.0,0.5824,-0.000391,0,12,0,12,0.84578,-0.00882
100,42,97,Truck,1,0,97,25,17,1.0,0.93,-0.000117,0,97,11,10,G,0.0,0.5502,-1.4e-05,0,13,0,13,0.84578,-0.00882
100,42,52,Dog,1,0,52,6,13,0.0,0.9511,-0.000596,0,52,6,13,G,0.0,0.5571,-0.000307,0,14,0,14,0.84578,-0.00882
100,42,78,Horse,1,0,78,11,16,1.0,0.8368,-0.000148,0,78,18,25,G,1.0,0.5156,-4.3e-05,0,15,0,15,0.84578,-0.00882
100,42,11,Automobile,1,0,11,9,31,0.0,0.9344,-0.000134,0,11,8,26,G,0.0,0.5686,-5.5e-05,0,16,0,16,0.84578,-0.00882
100,42,20,Bird,1,0,20,11,15,1.0,0.9855,-0.001131,0,20,10,13,G,1.0,0.5755,-0.000499,0,17,0,17,0.84578,-0.00882
100,42,4,Airplane,1,0,4,16,18,1.0,0.9055,-0.003944,0,4,16,18,G,1.0,0.5271,-0.001628,0,18,0,18,0.84578,-0.00882
100,42,70,Horse,1,0,70,20,18,0.0,0.8722,-0.000545,0,70,20,18,G,0.0,0.5041,-0.000239,0,19,0,19,0.84578,-0.00882
100,42,95,Truck,1,0,95,19,5,0.0,0.9727,-1.6e-05,0,95,19,5,G,0.0,0.5709,-1e-06,0,20,0,20,0.84578,-0.00882
