N,seed,n_probe,n_baseline_correct,bl_fail_rate,cos_raw,cos_proc,a1_raw,a1_cond,a2_raw,a2_cond,b1_raw,b1_cond,b2_raw,b2_cond
100,42,50,50,0.0,0.84578,-0.00882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,43,50,50,0.0,0.83996,-0.00913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,44,50,50,0.0,0.82957,-0.00916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,45,50,50,0.0,0.82437,-0.00852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,46,50,50,0.0,0.84381,-0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,42,50,40,0.2,0.83882,-0.00144,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
500,43,50,38,0.24,0.83438,-0.00126,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0
500,44,50,44,0.12,0.8308,-0.0018,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0
500,45,50,37,0.26,0.83305,-0.00115,0.34,0.1081,0.3,0.0541,0.0,0.0,0.0,0.0
500,46,50,40,0.2,0.83671,-0.00158,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
