method,seed,probe,class,baseline_correct,attack_success,cosine_delta,pixel_i,pixel_j,l2
raw,42,0,Airplane,0,1,0.0,16,25,0.9266
raw,42,1,Automobile,0,1,1e-06,0,0,0.9999
raw,42,2,Bird,0,1,1e-06,8,14,0.8316
raw,42,3,Cat,0,1,0.0,5,17,0.7674
raw,42,4,Deer,1,0,-1e-06,0,0,0.9999
raw,42,5,Dog,0,1,1e-06,27,10,0.98
raw,42,6,Frog,0,1,1e-06,28,28,0.9999
raw,42,7,Horse,0,1,1e-06,14,22,0.908
raw,42,8,Ship,0,1,0.0,10,7,0.9224
raw,42,9,Truck,0,1,1e-06,16,5,0.9118
raw,43,0,Airplane,1,0,-0.0,6,5,0.8664
raw,43,1,Automobile,0,1,0.0,10,24,0.8283
raw,43,2,Bird,0,1,1e-06,24,18,0.7523
raw,43,3,Cat,0,1,1e-06,9,0,0.9999
raw,43,4,Deer,0,1,-0.0,15,19,0.5808
raw,43,5,Dog,0,1,-0.0,1,17,0.8439
raw,43,6,Frog,0,1,0.0,29,8,0.957
raw,43,7,Horse,1,0,1e-06,7,15,0.9987
raw,43,8,Ship,0,1,1e-06,0,0,0.9987
raw,43,9,Truck,0,1,0.0,7,14,0.949
raw,44,0,Airplane,0,1,0.0,5,23,0.8005
raw,44,1,Automobile,0,1,-1e-06,16,12,0.9319
raw,44,2,Bird,0,1,0.0,14,23,0.8515
raw,44,3,Cat,1,0,0.0,12,28,0.9578
raw,44,4,Deer,0,1,-0.0,10,14,0.76
raw,44,5,Dog,1,0,0.0,9,26,0.9999
raw,44,6,Frog,0,1,-0.0,9,31,0.7684
raw,44,7,Horse,1,0,0.0,0,6,0.9636
raw,44,8,Ship,1,0,-0.0,0,0,0.9999
raw,44,9,Truck,1,0,0.0,1,6,0.9999
raw,45,0,Airplane,0,1,2e-06,13,14,0.9288
raw,45,1,Automobile,0,1,1e-06,1,23,0.9055
raw,45,2,Bird,0,1,2e-06,19,11,0.5888
raw,45,3,Cat,0,1,1e-06,17,21,0.9455
raw,45,4,Deer,0,1,2e-06,13,0,0.889
raw,45,5,Dog,1,0,-2e-06,0,0,0.9999
raw,45,6,Frog,0,1,2e-06,10,29,0.6681
raw,45,7,Horse,0,1,1e-06,2,22,0.9254
raw,45,8,Ship,0,1,2e-06,24,16,0.8472
raw,45,9,Truck,0,1,1e-06,25,19,0.9678
raw,46,0,Airplane,1,0,0.0,1,0,0.9658
raw,46,1,Automobile,0,1,-0.0,17,25,0.9895
raw,46,2,Bird,0,1,0.0,12,12,0.8823
raw,46,3,Cat,0,1,-0.0,25,26,0.942
raw,46,4,Deer,0,1,0.0,9,26,0.8447
raw,46,5,Dog,0,1,0.0,15,11,0.9328
raw,46,6,Frog,0,1,1e-06,13,23,0.869
