method,N,seed,bl_fail,cos_mean
raw,10,42,0.9,0.88433
raw,10,43,0.8,0.79207
raw,10,44,0.5,0.86805
raw,10,45,0.9,0.8632
raw,10,46,0.9,0.75291
raw,50,42,0.98,0.85012
raw,50,43,0.84,0.82866
raw,50,44,0.92,0.8196
raw,50,45,0.98,0.83992
raw,50,46,0.98,0.83727
raw,100,42,0.99,0.84578
raw,100,43,0.99,0.83996
raw,100,44,0.95,0.82957
raw,100,45,0.99,0.82437
raw,100,46,0.97,0.84381
centered,10,42,0.0,-0.09845
centered,10,43,0.0,-0.10566
centered,10,44,0.0,-0.10245
centered,10,45,0.0,-0.07827
centered,10,46,0.0,-0.10803
centered,50,42,0.18,-0.01918
centered,50,43,0.08,-0.01916
centered,50,44,0.22,-0.01866
centered,50,45,0.3,-0.01688
centered,50,46,0.24,-0.01937
centered,100,42,0.24,-0.00882
centered,100,43,0.22,-0.00913
centered,100,44,0.29,-0.00916
centered,100,45,0.27,-0.00852
centered,100,46,0.28,-0.0093
centered_norm,10,42,0.0,-0.09845
centered_norm,10,43,0.0,-0.10566
centered_norm,10,44,0.0,-0.10245
centered_norm,10,45,0.0,-0.07827
centered_norm,10,46,0.0,-0.10803
centered_norm,50,42,0.0,-0.01918
centered_norm,50,43,0.0,-0.01916
centered_norm,50,44,0.0,-0.01866
centered_norm,50,45,0.0,-0.01688
centered_norm,50,46,0.0,-0.01937
centered_norm,100,42,0.0,-0.00882
centered_norm,100,43,0.0,-0.00913
centered_norm,100,44,0.0,-0.00916
centered_norm,100,45,0.0,-0.00852
centered_norm,100,46,0.0,-0.0093
