seed,probe_idx,class,baseline_correct,a_success,a_retrieved,a_pixel_i,a_pixel_j,a_pixel_val,a_l2,a_cosine_delta,b_success,b_retrieved,mean_pairwise_cosine
42,0,T-shirt,1,0,0,1,10,0.0,1.0,-0.0,0,0,0.58847
42,1,T-shirt,0,1,0,3,6,0.0,1.0,0.0,1,0,0.58847
42,2,T-shirt,0,1,66,1,13,0.0,1.0,-3e-05,1,66,0.58847
42,3,T-shirt,0,1,66,15,4,1.0,1.0,-0.000972,1,66,0.58847
42,4,T-shirt,0,1,66,1,19,0.0,1.0,-0.0,1,66,0.58847
42,5,T-shirt,1,0,5,4,9,0.0,1.0,-0.0,0,5,0.58847
42,6,T-shirt,0,1,0,2,13,0.0,0.9961,1e-06,1,0,0.58847
42,7,T-shirt,0,1,66,8,20,0.0,0.9961,0.0,1,66,0.58847
42,8,T-shirt,0,1,66,20,24,1.0,1.0,-0.001751,1,66,0.58847
42,9,T-shirt,1,0,9,1,13,0.0,1.0,0.0,0,9,0.58847
42,10,Trouser,0,1,17,11,16,0.0,1.0,0.0,1,17,0.58847
42,11,Trouser,0,1,9,5,22,1.0,1.0,-0.089001,1,3,0.58847
42,12,Trouser,0,1,17,1,9,0.0,1.0,0.0,1,17,0.58847
42,13,Trouser,0,1,9,26,15,0.0,1.0,0.0,1,9,0.58847
42,14,Trouser,0,1,9,8,14,0.0,1.0,0.0,1,9,0.58847
42,15,Trouser,0,1,17,7,15,0.0,0.9961,0.0,1,17,0.58847
42,16,Trouser,0,1,66,13,15,0.0,1.0,-0.0,1,66,0.58847
42,17,Trouser,1,1,9,5,6,1.0,1.0,-0.114947,0,17,0.58847
42,18,Trouser,1,0,18,1,10,0.0,1.0,-0.0,0,18,0.58847
42,19,Trouser,0,1,9,20,24,1.0,1.0,-0.020696,1,9,0.58847
42,20,Pullover,0,1,66,14,21,0.0,1.0,0.0,1,66,0.58847
42,21,Pullover,0,1,66,1,8,0.0,1.0,-1e-06,1,66,0.58847
42,22,Pullover,0,1,66,6,9,0.0,1.0,-0.0,1,66,0.58847
42,23,Pullover,0,1,66,9,7,0.0,0.9961,0.0,1,66,0.58847
42,24,Pullover,0,1,66,1,15,0.0,1.0,-1e-06,1,66,0.58847
42,25,Pullover,0,1,66,12,7,0.0,1.0,-0.0,1,66,0.58847
42,26,Pullover,0,1,66,18,7,0.0,1.0,0.0,1,66,0.58847
42,27,Pullover,0,1,66,19,22,0.0,1.0,-0.0,1,66,0.58847
42,28,Pullover,0,1,66,1,14,0.0,1.0,-0.0,1,66,0.58847
