seed,probe_idx,class_label,baseline_correct,attack_success,pixel_i,pixel_j,pixel_value,original_value,perturbation_l2,retrieved_index,true_index,mean_pairwise_cosine
42,0,0,0,1,0,0,0.0,0.6313,0.6313,4,0,0.88433
42,1,1,0,1,0,0,0.0,0.9999,0.9999,4,1,0.88433
42,2,2,0,1,0,0,0.0,0.5587,0.5587,4,2,0.88433
42,3,3,0,1,0,0,0.0,0.6613,0.6613,4,3,0.88433
42,4,4,1,0,0,0,0.0,0.9999,0.9999,4,4,0.88433
42,5,5,0,1,0,0,0.0,0.8225,0.8225,4,5,0.88433
42,6,6,0,1,0,0,0.0,0.6073,0.6073,4,6,0.88433
42,7,7,0,1,0,0,0.0,0.3559,0.3559,4,7,0.88433
42,8,8,0,1,0,0,0.0,0.2671,0.2671,4,8,0.88433
42,9,9,0,1,0,0,0.0,0.7656,0.7656,4,9,0.88433
43,0,0,1,0,0,0,0.0,0.858,0.858,0,0,0.79207
43,1,1,0,1,0,0,0.0,0.1878,0.1878,0,1,0.79207
43,2,2,0,1,0,0,0.0,0.1564,0.1564,0,2,0.79207
43,3,3,0,1,0,0,0.0,0.9183,0.9183,0,3,0.79207
43,4,4,0,1,0,0,0.0,0.1469,0.1469,0,4,0.79207
43,5,5,0,1,0,0,0.0,0.3344,0.3344,0,5,0.79207
43,6,6,0,1,0,0,0.0,0.0975,0.0975,0,6,0.79207
43,7,7,1,0,0,0,0.0,0.4602,0.4602,7,7,0.79207
43,8,8,0,1,0,0,0.0,0.9987,0.9987,0,8,0.79207
43,9,9,0,1,0,0,0.0,0.4308,0.4308,0,9,0.79207
44,0,0,0,1,0,0,0.0,0.6661,0.6661,5,0,0.86805
44,1,1,0,1,0,0,0.0,0.6034,0.6034,5,1,0.86805
44,2,2,0,1,0,0,0.0,0.6633,0.6633,5,2,0.86805
44,3,3,1,0,14,6,1.0,0.1669,0.8331,3,3,0.86805
44,4,4,0,1,0,23,0.5,0.0698,0.4302,3,4,0.86805
44,5,5,1,0,0,0,0.0,0.6999,0.6999,5,5,0.86805
44,6,6,0,1,0,0,0.0,0.7073,0.7073,5,6,0.86805
44,7,7,1,0,0,0,0.0,0.9521,0.9521,7,7,0.86805
44,8,8,1,0,6,7,1.0,0.2266,0.7734,8,8,0.86805
44,9,9,1,0,0,0,0.0,0.9781,0.9781,9,9,0.86805
45,0,0,0,1,0,0,0.0,0.1773,0.1773,5,0,0.8632
45,1,1,0,1,0,0,0.0,0.6937,0.6937,5,1,0.8632
45,2,2,0,1,0,0,0.0,0.4198,0.4198,5,2,0.8632
45,3,3,0,1,0,0,0.0,0.2145,0.2145,5,3,0.8632
45,4,4,0,1,0,0,0.0,0.2531,0.2531,5,4,0.8632
45,5,5,1,0,0,0,0.0,0.9999,0.9999,5,5,0.8632
45,6,6,0,1,0,0,0.0,0.2942,0.2942,5,6,0.8632
45,7,7,0,1,0,0,0.0,0.9226,0.9226,5,7,0.8632
45,8,8,0,1,0,0,0.0,0.6391,0.6391,5,8,0.8632
45,9,9,0,1,0,0,0.0,0.2393,0.2393,5,9,0.8632
46,0,0,1,0,0,0,0.0,0.9623,0.9623,0,0,0.75291
46,1,1,0,1,0,0,0.0,0.3685,0.3685,0,1,0.75291
46,2,2,0,1,0,0,0.0,0.4527,0.4527,0,2,0.75291
46,3,3,0,1,0,0,0.0,0.471,0.471,0,3,0.75291
46,4,4,0,1,0,0,0.0,0.4588,0.4588,0,4,0.75291
46,5,5,0,1,0,0,0.0,0.4806,0.4806,0,5,0.75291
46,6,6,0,1,0,0,0.0,0.0078,0.0078,0,6,0.75291
46,7,7,0,1,0,0,0.0,0.9646,0.9646,0,7,0.75291
46,8,8,0,1,0,0,0.0,0.0157,0.0157,0,8,0.75291
46,9,9,0,1,0,0,0.0,0.7298,0.7298,0,9,0.75291
