seed,probe_idx,class,baseline_correct,a1_success,a1_retrieved,a1_pixel_i,a1_pixel_j,a1_pixel_val,a1_l2,a1_cosine_delta,a2_success,a2_retrieved,a2_pixel_i,a2_pixel_j,a2_channel,a2_pixel_val,a2_l2,a2_cosine_delta,b1_success,b1_retrieved,b2_success,b2_retrieved,mean_pairwise_cosine
42,0,Airplane,0,1,4,16,25,0.0,0.9266,0.0,1,4,16,25,G,0.0,0.5548,0.0,1,4,1,4,0.88433
42,1,Automobile,0,1,4,0,0,0.0,0.9999,1e-06,1,4,0,0,G,0.0,0.587,1e-06,1,4,1,4,0.88433
42,2,Bird,0,1,4,8,14,0.0,0.8316,1e-06,1,4,8,14,G,0.0,0.488,1e-06,1,4,1,4,0.88433
42,3,Cat,0,1,4,5,17,0.0,0.7674,0.0,1,4,5,17,G,0.0,0.4512,0.0,1,4,1,4,0.88433
42,4,Deer,1,0,4,0,0,0.0,0.9999,-1e-06,0,4,0,0,G,0.0,0.587,-1e-06,0,4,0,4,0.88433
42,5,Dog,0,1,4,27,10,0.0,0.98,1e-06,1,4,27,10,G,0.0,0.5755,1e-06,1,4,1,4,0.88433
42,6,Frog,0,1,4,28,28,0.0,0.9999,1e-06,1,4,28,28,G,0.0,0.587,1e-06,1,4,1,4,0.88433
42,7,Horse,0,1,4,14,22,0.0,0.908,1e-06,1,4,14,22,G,0.0,0.5225,1e-06,1,4,1,4,0.88433
42,8,Ship,0,1,4,10,7,0.0,0.9224,0.0,1,4,10,7,G,0.0,0.541,0.0,1,4,1,4,0.88433
42,9,Truck,0,1,4,16,5,0.0,0.9118,1e-06,1,4,16,5,G,0.0,0.5318,1e-06,1,4,1,4,0.88433
43,0,Airplane,1,0,0,6,5,0.0,0.8664,-0.0,0,0,6,5,G,0.0,0.5179,-0.0,0,0,0,0,0.79207
43,1,Automobile,0,1,0,10,24,0.0,0.8283,0.0,1,0,10,24,G,0.0,0.4857,0.0,1,0,1,0,0.79207
43,2,Bird,0,1,0,24,18,0.0,0.7523,1e-06,1,0,24,18,G,0.0,0.4374,1e-06,1,0,1,0,0.79207
43,3,Cat,0,1,0,9,0,0.0,0.9999,1e-06,1,0,9,0,G,0.0,0.587,1e-06,1,0,1,0,0.79207
43,4,Deer,0,1,0,15,19,0.0,0.5808,-0.0,1,0,19,20,G,0.0,0.3223,-0.0,1,0,1,0,0.79207
43,5,Dog,0,1,0,1,17,0.0,0.8439,-0.0,1,0,1,17,G,0.0,0.4857,-0.0,1,0,1,0,0.79207
