seed,probe_idx,class,baseline_correct,a_success,a_retrieved,a_pixel_i,a_pixel_j,a_pixel_val,a_l2,a_cosine_delta,b_success,b_retrieved,mean_pairwise_cosine
42,0,0,0,1,2,16,18,0.0,1.0,0.0,1,2,0.41783
42,1,0,1,0,1,4,18,0.0,1.0,0.0,0,1,0.41783
42,2,0,1,0,2,8,16,0.0,1.0,-0.0,0,2,0.41783
42,3,0,1,0,3,14,22,0.0,1.0,0.0,0,3,0.41783
42,4,0,1,0,4,6,10,0.0,1.0,-0.0,0,4,0.41783
42,5,0,1,0,5,5,11,0.0,1.0,0.0,0,5,0.41783
42,6,0,1,0,6,8,10,0.0,1.0,0.0,0,6,0.41783
42,7,0,1,0,7,4,14,0.0,1.0,0.0,0,7,0.41783
42,8,0,0,1,2,4,14,1.0,1.0,-0.030506,1,1,0.41783
42,9,0,1,0,9,12,5,0.0,0.9961,0.0,0,9,0.41783
42,10,1,1,0,10,4,17,0.0,1.0,-0.0,0,10,0.41783
42,11,1,1,0,11,14,14,0.0,1.0,-0.0,0,11,0.41783
42,12,1,1,0,12,4,14,0.0,1.0,-0.0,0,12,0.41783
42,13,1,1,0,13,3,20,0.0,1.0,-0.0,0,13,0.41783
42,14,1,0,1,72,6,11,1.0,1.0,-0.196514,1,72,0.41783
42,15,1,0,1,70,5,14,0.0,0.9922,-0.185049,1,70,0.41783
42,16,1,1,1,70,6,15,1.0,1.0,-0.434913,0,16,0.41783
42,17,1,0,1,70,5,16,0.0,1.0,-2.2e-05,1,70,0.41783
42,18,1,0,1,70,17,10,1.0,1.0,-0.004096,1,70,0.41783
42,19,1,0,1,70,5,14,0.0,1.0,-0.233478,1,70,0.41783
42,20,2,1,0,20,19,6,0.0,1.0,0.0,0,20,0.41783
42,21,2,0,1,27,3,11,0.0,1.0,-0.0,1,27,0.41783
42,22,2,1,0,22,8,7,0.0,1.0,0.0,0,22,0.41783
42,23,2,1,0,23,4,12,0.0,1.0,0.0,0,23,0.41783
42,24,2,1,0,24,20,15,0.0,1.0,-0.0,0,24,0.41783
42,25,2,1,0,25,9,16,0.0,1.0,0.0,0,25,0.41783
42,26,2,1,0,26,13,18,0.0,1.0,0.0,0,26,0.41783
42,27,2,1,0,27,20,6,0.0,1.0,-0.0,0,27,0.41783
42,28,2,1,0,28,13,18,0.0,1.0,0.0,0,28,0.41783
42,29,2,1,0,29,4,17,0.0,0.9961,0.0,0,29,0.41783
42,30,3,1,0,30,14,13,0.0,1.0,-0.0,0,30,0.41783
42,31,3,1,0,31,15,14,0.0,1.0,0.0,0,31,0.41783
42,32,3,1,0,32,15,13,0.0,1.0,0.0,0,32,0.41783
42,33,3,1,0,33,22,14,0.0,1.0,0.0,0,33,0.41783
42,34,3,1,0,34,6,17,0.0,1.0,0.0,0,34,0.41783
42,35,3,1,0,35,5,11,0.0,1.0,0.0,0,35,0.41783
42,36,3,1,0,36,6,17,0.0,1.0,-0.0,0,36,0.41783
42,37,3,0,1,56,5,14,0.0,1.0,0.0,1,56,0.41783
42,38,3,1,0,38,15,12,0.0,1.0,-0.0,0,38,0.41783
42,39,3,1,0,39,4,13,0.0,1.0,0.0,0,39,0.41783
42,40,4,1,0,40,15,15,0.0,1.0,0.0,0,40,0.41783
