N,strategy,noise_type,magnitude,mse,accuracy,cosine
10,random,gaussian,0.05,0.04450207501650486,0.8,0.8915538996458053
10,random,gaussian,0.1,0.06658608097350224,0.7,0.8455694228410721
10,random,gaussian,0.2,0.10870888829231262,0.5,0.7501077979803086
10,random,gaussian,0.3,0.15887553989887238,0.3,0.6293511599302292
10,random,gaussian,0.5,0.18347314968705178,0.1,0.5758079141378403
10,random,flip,0.05,0.03485141892451794,0.8,0.9124934524297714
10,random,flip,0.1,0.10868609249591828,0.5,0.7501296490430832
10,random,flip,0.2,0.13402515053843364,0.4,0.6887275785207748
10,random,flip,0.3,0.15887553989887238,0.3,0.6293511599302292
10,random,flip,0.5,0.19827469289302826,0.1,0.5488740831613541
10,random,occlusion,0.5,0.005267742648720742,0.9,0.9682580292224884
10,class_balanced,gaussian,0.05,0.0,1.0,1.0000000596046448
10,class_balanced,gaussian,0.1,5.21361682961432e-35,1.0,1.0000000596046448
10,class_balanced,gaussian,0.2,0.0016765501350164413,1.0,0.9886918187141418
10,class_balanced,gaussian,0.3,0.0112880177795887,0.9,0.9550383448600769
10,class_balanced,gaussian,0.5,0.0112880177795887,0.9,0.9550383448600769
10,class_balanced,flip,0.05,0.0,1.0,1.0000000596046448
10,class_balanced,flip,0.1,9.911426077123361e-41,1.0,1.0000000596046448
10,class_balanced,flip,0.2,7.780023370332345e-15,1.0,1.0000000715255737
10,class_balanced,flip,0.3,0.0112880177795887,0.9,0.9550383448600769
10,class_balanced,flip,0.5,0.03617764080026973,0.7,0.8639347434043885
10,class_balanced,occlusion,0.5,7.927892432023981e-24,1.0,1.0000000596046448
50,random,gaussian,0.05,0.00207545537559396,0.94,0.9878720045089722
50,random,gaussian,0.1,0.005730220692508637,0.92,0.9696360576152802
50,random,gaussian,0.2,0.019403547055762117,0.82,0.9220901322364807
50,random,gaussian,0.3,0.02781537631289038,0.76,0.890419772863388
50,random,gaussian,0.5,0.05267270585688053,0.58,0.8023016911745071
50,random,flip,0.05,0.002219880621982815,0.94,0.9863531506061554
50,random,flip,0.1,0.012351984076203788,0.86,0.9459196263551712
50,random,flip,0.2,0.024781455896200892,0.76,0.897305389046669
50,random,flip,0.3,0.03385161133215517,0.7,0.8672033667564392
50,random,flip,0.5,0.08247980480601692,0.38,0.6922651636600494
50,random,occlusion,0.5,0.022625607764561285,0.78,0.9019884127378464
50,class_balanced,gaussian,0.05,0.0011805059760809041,0.98,0.9932661545276642
50,class_balanced,gaussian,0.1,0.0011805059760824934,0.98,0.9932661509513855
50,class_balanced,gaussian,0.2,0.002407539295620261,0.94,0.9835606050491333
50,class_balanced,gaussian,0.3,0.023418657921138314,0.86,0.9174722945690155
50,class_balanced,gaussian,0.5,0.07378216725491633,0.5,0.7457138741016388
50,class_balanced,flip,0.05,0.0019333100318908753,0.96,0.9876087152957916
50,class_balanced,flip,0.1,0.0026113194972276765,0.96,0.9849176955223083
50,class_balanced,flip,0.2,0.013189100176098818,0.88,0.9467885673046113
50,class_balanced,flip,0.3,0.037859380796242355,0.72,0.8634725034236908
50,class_balanced,flip,0.5,0.10496896969098395,0.34,0.651853746175766
50,class_balanced,occlusion,0.5,0.007623062594225577,0.92,0.9624445283412933
100,random,gaussian,0.05,0.024199006653869693,0.74,0.9162451612949372
100,random,gaussian,0.1,0.034873398747314294,0.68,0.8868609088659286
100,random,gaussian,0.2,0.05205926488236882,0.54,0.8325963479280472
100,random,gaussian,0.3,0.06639450955450961,0.46,0.792638691663742
100,random,gaussian,0.5,0.09698367810424431,0.28,0.7040059131383896
100,random,flip,0.05,0.027549667218307733,0.72,0.9075836825370789
100,random,flip,0.1,0.04048689234886229,0.62,0.8702476346492767
