seed,N,strategy,noise_type,magnitude,mse,accuracy,cosine
42,10,class_balanced,flip,0.2,7.780023370332345e-15,1.0,1.0000000715255737
42,10,class_balanced,gaussian,0.2,0.0016765501350164413,1.0,0.9886918187141418
42,10,class_balanced,occlusion,0.5,7.927892432023981e-24,1.0,1.0000000596046448
42,10,random,flip,0.2,0.13402515053843364,0.4,0.6887275785207748
42,10,random,gaussian,0.2,0.10870888829231262,0.5,0.7501077979803086
42,10,random,occlusion,0.5,0.005267742648720742,0.9,0.9682580292224884
42,50,class_balanced,flip,0.2,0.013189100176098818,0.88,0.9467885673046113
42,50,class_balanced,gaussian,0.2,0.002407539295620261,0.94,0.9835606050491333
42,50,class_balanced,occlusion,0.5,0.007623062594225577,0.92,0.9624445283412933
42,50,random,flip,0.2,0.024781455896200892,0.76,0.897305389046669
42,50,random,gaussian,0.2,0.019403547055762117,0.82,0.9220901322364807
42,50,random,occlusion,0.5,0.022625607764561285,0.78,0.9019884127378464
42,100,class_balanced,flip,0.2,0.0426104115340604,0.6,0.8508831268548965
42,100,class_balanced,gaussian,0.2,0.026868378525553363,0.74,0.9034710115194321
42,100,class_balanced,occlusion,0.5,0.014955945215188615,0.84,0.9477674353122711
42,100,random,flip,0.2,0.06096328729768829,0.5,0.8074815392494201
42,100,random,gaussian,0.2,0.05205926488236882,0.54,0.8325963479280472
42,100,random,occlusion,0.5,0.03761124860980472,0.64,0.8735201960802078
42,500,class_balanced,flip,0.2,0.10872298741713166,0.28,0.737222473025322
42,500,class_balanced,gaussian,0.2,0.09896053214091857,0.32,0.7607444244623184
42,500,class_balanced,occlusion,0.5,0.04954685607090374,0.52,0.862761133313179
42,500,random,flip,0.2,0.08170434988194099,0.34,0.7536152142286301
42,500,random,gaussian,0.2,0.07036937505820616,0.4,0.7842137306928635
42,500,random,occlusion,0.5,0.07314072046263462,0.28,0.7566508710384369
42,1000,class_balanced,flip,0.2,0.11619390182197094,0.18,0.6934287512302398
42,1000,class_balanced,gaussian,0.2,0.0938616468789743,0.24,0.7397879463434219
42,1000,class_balanced,occlusion,0.5,0.08824601815625237,0.2,0.7283051979541778
42,1000,random,flip,0.2,0.18559152516050745,0.12,0.6220736032724381
42,1000,random,gaussian,0.2,0.16800339249350446,0.14,0.6492270010709763
42,1000,random,occlusion,0.5,0.11113173476023394,0.24,0.7342684781551361
43,10,class_balanced,flip,0.2,4.716950570584924e-07,1.0,0.9999967992305756
43,10,class_balanced,gaussian,0.2,4.562280094971559e-21,1.0,0.9999999642372132
43,10,class_balanced,occlusion,0.5,1.593935716927823e-16,1.0,0.9999999642372132
43,10,random,flip,0.2,3.9983145688876996e-10,1.0,1.0
43,10,random,gaussian,0.2,0.0,1.0,1.0
43,10,random,occlusion,0.5,1.4125354767102377e-40,1.0,1.0
