seed,sigma,mean_noise_l2,raw_failure_rate,conditional_failure_rate,n_baseline_excluded
42,0.002,0.04302,0.06,0.0,3
42,0.003,0.06444,0.06,0.0,3
42,0.004,0.08576,0.06,0.0,3
42,0.005,0.10691,0.06,0.0,3
42,0.006,0.12797,0.06,0.0,3
42,0.008,0.16982,0.06,0.0,3
42,0.01,0.2115,0.06,0.0,3
42,0.015,0.31548,0.06,0.0,3
42,0.02,0.41935,0.06,0.0,3
43,0.002,0.04316,0.16,0.0,8
43,0.003,0.0646,0.16,0.0,8
43,0.004,0.08593,0.16,0.0,8
43,0.005,0.10712,0.16,0.0,8
43,0.006,0.12819,0.16,0.0,8
43,0.008,0.17009,0.16,0.0,8
43,0.01,0.21185,0.16,0.0,8
43,0.015,0.31605,0.18,0.0238,8
43,0.02,0.42006,0.18,0.0238,8
44,0.002,0.04312,0.08,0.0,4
44,0.003,0.06458,0.08,0.0,4
44,0.004,0.08593,0.1,0.0217,4
44,0.005,0.10715,0.1,0.0217,4
44,0.006,0.12823,0.1,0.0217,4
44,0.008,0.17005,0.1,0.0217,4
44,0.01,0.21166,0.1,0.0217,4
44,0.015,0.31526,0.1,0.0217,4
44,0.02,0.41862,0.1,0.0217,4
45,0.002,0.04316,0.1,0.0,5
45,0.003,0.06461,0.1,0.0,5
45,0.004,0.08592,0.1,0.0,5
45,0.005,0.10707,0.1,0.0,5
45,0.006,0.1281,0.1,0.0,5
45,0.008,0.16997,0.1,0.0,5
45,0.01,0.21169,0.1,0.0,5
45,0.015,0.3157,0.1,0.0,5
45,0.02,0.41954,0.1,0.0,5
46,0.002,0.04307,0.06,0.0,3
46,0.003,0.0645,0.08,0.0213,3
46,0.004,0.08584,0.08,0.0213,3
46,0.005,0.10702,0.08,0.0213,3
46,0.006,0.1281,0.08,0.0213,3
46,0.008,0.17006,0.08,0.0213,3
46,0.01,0.21185,0.08,0.0213,3
46,0.015,0.31615,0.08,0.0213,3
46,0.02,0.42042,0.08,0.0213,3
