seed,N,strategy,sigma,mean_l2,attack_mean_l2,failure_rate
42,10,random,0.01,0.28,0.0,0.1
42,10,random,0.02,0.56,0.0,0.1
42,10,random,0.05,1.4,0.0,0.2
42,10,random,0.1,2.8,0.0,0.3
43,10,random,0.01,0.28,0.0,0.0
43,10,random,0.02,0.56,0.0,0.0
43,10,random,0.05,1.4,0.0,0.0
43,10,random,0.1,2.8,0.0,0.0
44,10,random,0.01,0.28,0.0,0.0
44,10,random,0.02,0.56,0.0,0.0
44,10,random,0.05,1.4,0.0,0.0
44,10,random,0.1,2.8,0.0,0.0
45,10,random,0.01,0.28,0.0,0.1
45,10,random,0.02,0.56,0.0,0.1
45,10,random,0.05,1.4,0.0,0.1
45,10,random,0.1,2.8,0.0,0.1
46,10,random,0.01,0.28,0.0,0.1
46,10,random,0.02,0.56,0.0,0.1
46,10,random,0.05,1.4,0.0,0.1
46,10,random,0.1,2.8,0.0,0.1
42,10,class_balanced,0.01,0.28,0.0,0.0
42,10,class_balanced,0.02,0.56,0.0,0.0
42,10,class_balanced,0.05,1.4,0.0,0.0
42,10,class_balanced,0.1,2.8,0.0,0.0
43,10,class_balanced,0.01,0.28,0.0,0.0
43,10,class_balanced,0.02,0.56,0.0,0.0
43,10,class_balanced,0.05,1.4,0.0,0.0
43,10,class_balanced,0.1,2.8,0.0,0.0
44,10,class_balanced,0.01,0.28,0.0,0.0
44,10,class_balanced,0.02,0.56,0.0,0.0
44,10,class_balanced,0.05,1.4,0.0,0.0
44,10,class_balanced,0.1,2.8,0.0,0.0
45,10,class_balanced,0.01,0.28,0.0,0.0
45,10,class_balanced,0.02,0.56,0.0,0.0
45,10,class_balanced,0.05,1.4,0.0,0.0
45,10,class_balanced,0.1,2.8,0.0,0.0
46,10,class_balanced,0.01,0.28,0.0,0.0
46,10,class_balanced,0.02,0.56,0.0,0.0
46,10,class_balanced,0.05,1.4,0.0,0.0
46,10,class_balanced,0.1,2.8,0.0,0.0
42,50,random,0.01,0.28,0.1213,0.06
42,50,random,0.02,0.56,0.1213,0.06
42,50,random,0.05,1.4,0.1213,0.06
42,50,random,0.1,2.8,0.1213,0.08
43,50,random,0.01,0.28,0.0977,0.06
43,50,random,0.02,0.56,0.0977,0.08
43,50,random,0.05,1.4,0.0977,0.1
43,50,random,0.1,2.8,0.0977,0.12
44,50,random,0.01,0.28,0.1771,0.22
44,50,random,0.02,0.56,0.1771,0.26
44,50,random,0.05,1.4,0.1771,0.26
44,50,random,0.1,2.8,0.1771,0.32
45,50,random,0.01,0.28,0.04,0.04
45,50,random,0.02,0.56,0.04,0.04
45,50,random,0.05,1.4,0.04,0.04
45,50,random,0.1,2.8,0.04,0.06
46,50,random,0.01,0.28,0.1287,0.1
46,50,random,0.02,0.56,0.1287,0.1
46,50,random,0.05,1.4,0.1287,0.12
46,50,random,0.1,2.8,0.1287,0.14
42,50,class_balanced,0.01,0.28,0.0148,0.02
42,50,class_balanced,0.02,0.56,0.0148,0.02
42,50,class_balanced,0.05,1.4,0.0148,0.02
42,50,class_balanced,0.1,2.8,0.0148,0.02
43,50,class_balanced,0.01,0.28,0.068,0.08
43,50,class_balanced,0.02,0.56,0.068,0.08
43,50,class_balanced,0.05,1.4,0.068,0.14
43,50,class_balanced,0.1,2.8,0.068,0.14
44,50,class_balanced,0.01,0.28,0.0784,0.04
44,50,class_balanced,0.02,0.56,0.0784,0.04
44,50,class_balanced,0.05,1.4,0.0784,0.06
44,50,class_balanced,0.1,2.8,0.0784,0.08
45,50,class_balanced,0.01,0.28,0.1096,0.06
45,50,class_balanced,0.02,0.56,0.1096,0.08
45,50,class_balanced,0.05,1.4,0.1096,0.08
45,50,class_balanced,0.1,2.8,0.1096,0.16
46,50,class_balanced,0.01,0.28,0.0358,0.0
46,50,class_balanced,0.02,0.56,0.0358,0.0
46,50,class_balanced,0.05,1.4,0.0358,0.0
