seed,N,strategy,probe_idx,true_index,attack_success,pixel_i,pixel_j,pixel_value,original_value,perturbation_l2,retrieved_index,evaluations
42,10,random,0,0,0,0,0,0.0,0.0,0.0,0,3920
42,10,random,1,6,0,0,0,0.0,0.0,0.0,6,3920
42,10,random,2,4,1,0,0,0.0,0.0,0.0,0,3920
42,10,random,3,3,0,0,0,0.0,0.0,0.0,3,3920
42,10,random,4,5,0,0,0,0.0,0.0,0.0,5,3920
42,10,random,5,9,0,0,0,0.0,0.0,0.0,9,3920
42,10,random,6,1,0,0,0,0.0,0.0,0.0,1,3920
42,10,random,7,2,0,0,0,0.0,0.0,0.0,2,3920
42,10,random,8,7,0,0,0,0.0,0.0,0.0,7,3920
42,10,random,9,8,0,0,0,0.0,0.0,0.0,8,3920
43,10,random,0,6,0,0,0,0.0,0.0,0.0,6,3920
43,10,random,1,4,0,0,0,0.0,0.0,0.0,4,3920
43,10,random,2,1,0,0,0,0.0,0.0,0.0,1,3920
43,10,random,3,8,0,0,0,0.0,0.0,0.0,8,3920
43,10,random,4,2,0,0,0,0.0,0.0,0.0,2,3920
43,10,random,5,7,0,0,0,0.0,0.0,0.0,7,3920
43,10,random,6,0,0,0,0,0.0,0.0,0.0,0,3920
43,10,random,7,5,0,0,0,0.0,0.0,0.0,5,3920
43,10,random,8,9,0,0,0,0.0,0.0,0.0,9,3920
43,10,random,9,3,0,0,0,0.0,0.0,0.0,3,3920
44,10,random,0,2,0,0,0,0.0,0.0,0.0,2,3920
44,10,random,1,4,0,0,0,0.0,0.0,0.0,4,3920
44,10,random,2,5,0,0,0,0.0,0.0,0.0,5,3920
44,10,random,3,6,0,0,0,0.0,0.0,0.0,6,3920
44,10,random,4,0,0,0,0,0.0,0.0,0.0,0,3920
44,10,random,5,9,0,0,0,0.0,0.0,0.0,9,3920
44,10,random,6,1,0,0,0,0.0,0.0,0.0,1,3920
44,10,random,7,8,0,0,0,0.0,0.0,0.0,8,3920
44,10,random,8,7,0,0,0,0.0,0.0,0.0,7,3920
44,10,random,9,3,0,0,0,0.0,0.0,0.0,3,3920
45,10,random,0,8,0,0,0,0.0,0.0,0.0,8,3920
45,10,random,1,5,0,0,0,0.0,0.0,0.0,5,3920
45,10,random,2,7,0,0,0,0.0,0.0,0.0,7,3920
45,10,random,3,4,0,0,0,0.0,0.0,0.0,4,3920
45,10,random,4,1,0,0,0,0.0,0.0,0.0,1,3920
45,10,random,5,3,0,0,0,0.0,0.0,0.0,3,3920
45,10,random,6,2,1,0,0,0.0,0.0,0.0,0,3920
45,10,random,7,9,0,0,0,0.0,0.0,0.0,9,3920
45,10,random,8,6,0,0,0,0.0,0.0,0.0,6,3920
45,10,random,9,0,0,0,0,0.0,0.0,0.0,0,3920
46,10,random,0,3,0,0,0,0.0,0.0,0.0,3,3920
46,10,random,1,4,1,0,0,0.0,0.0,0.0,3,3920
46,10,random,2,6,0,0,0,0.0,0.0,0.0,6,3920
46,10,random,3,9,0,0,0,0.0,0.0,0.0,9,3920
46,10,random,4,7,0,0,0,0.0,0.0,0.0,7,3920
46,10,random,5,8,0,0,0,0.0,0.0,0.0,8,3920
46,10,random,6,1,0,0,0,0.0,0.0,0.0,1,3920
46,10,random,7,2,0,0,0,0.0,0.0,0.0,2,3920
46,10,random,8,0,0,0,0,0.0,0.0,0.0,0,3920
46,10,random,9,5,0,0,0,0.0,0.0,0.0,5,3920
42,10,class_balanced,0,8,0,0,0,0.0,0.0,0.0,8,3920
